,Unnamed: 0,Sender,Child,UMID,Text,Recipient,Type,Likes,Gender,Age,Media,BMI,mean_BMI,tokens,triples,low,stop,punctuation,stem,stem_string,foods,drinks,restaurants,supermarkets,related,slang,brands,diet,meals,Dmeals,Media_0.0,Media_1.0,Media_2.0,words,words_no,word_string,count,length,nutriscores,nutriscore_mean
105,22750,3812402869,2869.0,17053,Ik heb sphaghetti met boerenkool paprika kip knoflook en walnoten gegeten rare combinatie maar wel lekker????????,,group,1,0,10,0.0,,15,"['Ik', 'heb', 'sphaghetti', 'met', 'boerenkool', 'paprika', 'kip', 'knoflook', 'en', 'walnoten', 'gegeten', 'rare', 'combinatie', 'maar', 'wel', 'lekker']","['Ik', 'heb', 'sphaghetti', 'met', 'boerenkool', 'paprika', 'kip', 'knoflook', 'en', 'walnoten', 'gegeten', 'rare', 'combinatie', 'maar', 'wel', 'lekker']","['ik', 'heb', 'sphaghetti', 'met', 'boerenkool', 'paprika', 'kip', 'knoflook', 'en', 'walnoten', 'gegeten', 'rare', 'combinatie', 'maar', 'wel', 'lekker']","['sphaghetti', 'boerenkool', 'paprika', 'kip', 'knoflook', 'walnoten', 'gegeten', 'rare', 'combinatie', 'wel', 'lekker']","['sphaghetti', 'boerenkool', 'paprika', 'kip', 'knoflook', 'walnoten', 'gegeten', 'rare', 'combinatie', 'wel', 'lekker']","['sphaghetti', 'boerenkol', 'paprika', 'kip', 'knoflok', 'walnot', 'geget', 'rar', 'combinatie', 'wel', 'lekker']","sphaghetti,boerenkol,paprika,kip,knoflok,walnot,geget,rar,combinatie,wel,lekker",5,0,0,0,0,0,0,0,0,0,1,0,0,"['paprika', 'kip', 'boerenkol', 'knoflok', 'walnot']",5,"paprika,kip,boerenkol,knoflok,walnot",13,11,"[1, 2, 1, 1, 3]",1.6
119,23416,3812402883,2883.0,20134,Wij hebben lekker aardappeltjes op met boomstammetjes ook nog brokkolie en als toetje yoggert het was lekker,,group,4,1,10,2.0,,17,"['Wij', 'hebben', 'lekker', 'aardappeltjes', 'op', 'met', 'boomstammetjes', 'ook', 'nog', 'brokkolie', 'en', 'als', 'toetje', 'yoggert', 'het', 'was', 'lekker']","['Wij', 'hebben', 'lekker', 'aardappeltjes', 'op', 'met', 'boomstammetjes', 'ook', 'nog', 'brokkolie', 'en', 'als', 'toetje', 'yoggert', 'het', 'was', 'lekker']","['wij', 'hebben', 'lekker', 'aardappeltjes', 'op', 'met', 'boomstammetjes', 'ook', 'nog', 'brokkolie', 'en', 'als', 'toetje', 'yoggert', 'het', 'was', 'lekker']","['wij', 'lekker', 'aardappeltjes', 'boomstammetjes', 'brokkolie', 'toetje', 'yoggert', 'lekker']","['wij', 'lekker', 'aardappeltjes', 'boomstammetjes', 'brokkolie', 'toetje', 'yoggert', 'lekker']","['wij', 'lekker', 'aardappeltjes', 'boomstammetjes', 'brokkolie', 'toetj', 'yoggert', 'lekker']","wij,lekker,aardappeltjes,boomstammetjes,brokkolie,toetj,yoggert,lekker",1,0,0,0,1,0,0,0,1,0,0,0,1,"['yoggert', 'aardappeltjes', 'toetj']",3,"yoggert,aardappeltjes,toetj",3,8,"[2.2, 1.4]",1.8
129,25548,4314103201,3201.0,20180,Ik spaghetti,,group,0,0,10,0.0,,16,"['Ik', 'spaghetti']","['Ik', 'spaghetti']","['ik', 'spaghetti']",['spaghetti'],['spaghetti'],['spaghetti'],spaghetti,0,0,0,0,0,0,0,0,1,0,1,0,0,['spaghetti'],1,spaghetti,4,1,[1.8],1.8
130,25555,4314103201,3201.0,20507,Ik ga spaghetti eten?,,group,0,0,10,1.0,,16,"['Ik', 'ga', 'spaghetti', 'eten']","['Ik', 'ga', 'spaghetti', 'eten']","['ik', 'ga', 'spaghetti', 'eten']","['ga', 'spaghetti', 'eten']","['ga', 'spaghetti', 'eten']","['ga', 'spaghetti', 'eten']","ga,spaghetti,eten",0,0,0,0,1,0,0,0,1,0,0,1,0,"['spaghetti', 'eten']",2,"spaghetti,eten",4,3,[1.8],1.8
141,28633,3912502897,2897.0,38664,Als jij mama zegt je krijg gele rijst dan eet je geen witte rijst maar gele,,group,1,1,11,0.0,,18,"['Als', 'jij', 'mama', 'zegt', 'je', 'krijg', 'gele', 'rijst', 'dan', 'eet', 'je', 'geen', 'witte', 'rijst', 'maar', 'gele']","['Als', 'jij', 'mama', 'zegt', 'je', 'krijg', 'gele', 'rijst', 'dan', 'eet', 'je', 'geen', 'witte', 'rijst', 'maar', 'gele']","['als', 'jij', 'mama', 'zegt', 'je', 'krijg', 'gele', 'rijst', 'dan', 'eet', 'je', 'geen', 'witte', 'rijst', 'maar', 'gele']","['jij', 'mama', 'zegt', 'krijg', 'gele', 'rijst', 'eet', 'witte', 'rijst', 'gele']","['jij', 'mama', 'zegt', 'krijg', 'gele', 'rijst', 'eet', 'witte', 'rijst', 'gele']","['jij', 'mama', 'zegt', 'krijg', 'gel', 'rijst', 'eet', 'wit', 'rijst', 'gel']","jij,mama,zegt,krijg,gel,rijst,eet,wit,rijst,gel",1,0,0,0,1,0,0,0,0,0,1,0,0,"['rijst', 'rijst', 'eet']",3,"rijst,rijst,eet",5,10,"[1.2, 1.2]",1.2
150,29556,3912502902,2902.0,38639,Ik wil rijst,,group,1,0,12,0.0,,24,"['Ik', 'wil', 'rijst']","['Ik', 'wil', 'rijst']","['ik', 'wil', 'rijst']",['rijst'],['rijst'],['rijst'],rijst,1,0,0,0,0,0,0,0,0,0,1,0,0,['rijst'],1,rijst,2,1,[1.2],1.2
151,29732,3912502902,2902.0,41109,Rijst doe de pan doe ik ook allebei wat is rijst rijst rijst en zo lekker ja rijst doe er een komkommer bij rijst moet je lekker eten rijst en Dit heb ik ingesproken terwijl ik dit doe ik,,group,0,0,12,0.0,,24,"['Rijst', 'doe', 'de', 'pan', 'doe', 'ik', 'ook', 'allebei', 'wat', 'is', 'rijst', 'rijst', 'rijst', 'en', 'zo', 'lekker', 'ja', 'rijst', 'doe', 'er', 'een', 'komkommer', 'bij', 'rijst', 'moet', 'je', 'lekker', 'eten', 'rijst', 'en', 'Dit', 'heb', 'ik', 'ingesproken', 'terwijl', 'ik', 'dit', 'doe', 'ik']","['Rijst', 'doe', 'de', 'pan', 'doe', 'ik', 'ook', 'allebei', 'wat', 'is', 'rijst', 'rijst', 'rijst', 'en', 'zo', 'lekker', 'ja', 'rijst', 'doe', 'er', 'een', 'komkommer', 'bij', 'rijst', 'moet', 'je', 'lekker', 'eten', 'rijst', 'en', 'Dit', 'heb', 'ik', 'ingesproken', 'terwijl', 'ik', 'dit', 'doe', 'ik']","['rijst', 'doe', 'de', 'pan', 'doe', 'ik', 'ook', 'allebei', 'wat', 'is', 'rijst', 'rijst', 'rijst', 'en', 'zo', 'lekker', 'ja', 'rijst', 'doe', 'er', 'een', 'komkommer', 'bij', 'rijst', 'moet', 'je', 'lekker', 'eten', 'rijst', 'en', 'dit', 'heb', 'ik', 'ingesproken', 'terwijl', 'ik', 'dit', 'doe', 'ik']","['rijst', 'doe', 'pan', 'doe', 'allebei', 'rijst', 'rijst', 'rijst', 'lekker', 'rijst', 'doe', 'komkommer', 'rijst', 'lekker', 'eten', 'rijst', 'ingesproken', 'terwijl', 'doe']","['rijst', 'doe', 'pan', 'doe', 'allebei', 'rijst', 'rijst', 'rijst', 'lekker', 'rijst', 'doe', 'komkommer', 'rijst', 'lekker', 'eten', 'rijst', 'ingesproken', 'terwijl', 'doe']","['rijst', 'doe', 'pan', 'doe', 'allebei', 'rijst', 'rijst', 'rijst', 'lekker', 'rijst', 'doe', 'komkommer', 'rijst', 'lekker', 'eten', 'rijst', 'ingesprok', 'terwijl', 'doe']","rijst,doe,pan,doe,allebei,rijst,rijst,rijst,lekker,rijst,doe,komkommer,rijst,lekker,eten,rijst,ingesprok,terwijl,doe",2,0,0,0,2,0,0,0,0,0,1,0,0,"['komkommer', 'rijst', 'rijst', 'rijst', 'rijst', 'rijst', 'rijst', 'rijst', 'eten', 'pan']",10,"komkommer,rijst,rijst,rijst,rijst,rijst,rijst,rijst,eten,pan",2,19,"[2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]",1.2999999999999998
177,32857,3912702917,2917.0,37177,Ik wil geen lahmacun worden als je op mij springt,,group,0,0,12,0.0,,20,"['Ik', 'wil', 'geen', 'lahmacun', 'worden', 'als', 'je', 'op', 'mij', 'springt']","['Ik', 'wil', 'geen', 'lahmacun', 'worden', 'als', 'je', 'op', 'mij', 'springt']","['ik', 'wil', 'geen', 'lahmacun', 'worden', 'als', 'je', 'op', 'mij', 'springt']","['lahmacun', 'springt']","['lahmacun', 'springt']","['lahmacun', 'springt']","lahmacun,springt",0,0,0,0,0,0,0,0,1,0,1,0,0,['lahmacun'],1,lahmacun,3,2,[2],2.0
199,36497,3912602915,2915.0,40252,Thee chappen,,group,0,0,13,0.0,,17,"['Thee', 'chappen']","['Thee', 'chappen']","['thee', 'chappen']","['thee', 'chappen']","['thee', 'chappen']","['thee', 'chapp']","thee,chapp",0,1,0,0,0,0,0,0,0,0,1,0,0,['thee'],1,thee,3,2,[2],2.0
201,36754,3912602918,2918.0,38896,Broodje halen,,group,0,0,12,0.0,,17,"['Broodje', 'halen']","['Broodje', 'halen']","['broodje', 'halen']","['broodje', 'halen']","['broodje', 'halen']","['broodj', 'hal']","broodj,hal",1,0,0,0,0,0,0,0,0,1,1,0,0,['broodj'],1,broodj,2,2,[2],2.0
205,37067,3912602923,2923.0,40036,Ik ga ff eten nog een broodje,,group,0,0,12,0.0,,20,"['Ik', 'ga', 'ff', 'eten', 'nog', 'een', 'broodje']","['Ik', 'ga', 'ff', 'eten', 'nog', 'een', 'broodje']","['ik', 'ga', 'ff', 'eten', 'nog', 'een', 'broodje']","['ga', 'ff', 'eten', 'broodje']","['ga', 'ff', 'eten', 'broodje']","['ga', 'ff', 'eten', 'broodj']","ga,ff,eten,broodj",1,0,0,0,1,0,0,0,0,1,1,0,0,"['eten', 'broodj']",2,"eten,broodj",3,4,[2],2.0
209,37219,3912602929,2929.0,35800,Jij zij net ook ice thee,,group,0,0,12,0.0,,15,"['Jij', 'zij', 'net', 'ook', 'ice', 'thee']","['Jij', 'zij', 'net', 'ook', 'ice', 'thee']","['jij', 'zij', 'net', 'ook', 'ice', 'thee']","['jij', 'net', 'ice', 'thee']","['jij', 'net', 'ice', 'thee']","['jij', 'net', 'ice', 'thee']","jij,net,ice,thee",0,1,0,0,0,0,0,0,0,0,1,0,0,['thee'],1,thee,4,4,[2],2.0
210,37318,3912602937,2937.0,34826,Ik ham,,group,0,0,12,0.0,,19,"['Ik', 'ham']","['Ik', 'ham']","['ik', 'ham']",['ham'],['ham'],['ham'],ham,1,0,0,0,0,0,0,0,0,0,1,0,0,['ham'],1,ham,5,1,[2.2],2.2
222,41619,2607401420,1420.0,42320,Hoeveel is de wortel van 25 in het kwadraat,,group,0,0,11,0.0,,17,"['Hoeveel', 'is', 'de', 'wortel', 'van', '25', 'in', 'het', 'kwadraat']","['Hoeveel', 'is', 'de', 'wortel', 'van', '25', 'in', 'het', 'kwadraat']","['hoeveel', 'is', 'de', 'wortel', 'van', '25', 'in', 'het', 'kwadraat']","['hoeveel', 'wortel', '25', 'kwadraat']","['hoeveel', 'wortel', '25', 'kwadraat']","['hoevel', 'wortel', '25', 'kwadrat']","hoevel,wortel,25,kwadrat",1,0,0,0,0,0,0,0,0,0,1,0,0,['wortel'],1,wortel,4,4,[1],1.0
225,41952,2607401422,1422.0,40192,Jij zegt tegen ons dat jij juist niet van groente houd??,,group,0,0,10,0.0,,16,"['Jij', 'zegt', 'tegen', 'ons', 'dat', 'jij', 'juist', 'niet', 'van', 'groente', 'houd']","['Jij', 'zegt', 'tegen', 'ons', 'dat', 'jij', 'juist', 'niet', 'van', 'groente', 'houd']","['jij', 'zegt', 'tegen', 'ons', 'dat', 'jij', 'juist', 'niet', 'van', 'groente', 'houd']","['jij', 'zegt', 'jij', 'juist', 'groente', 'houd']","['jij', 'zegt', 'jij', 'juist', 'groente', 'houd']","['jij', 'zegt', 'jij', 'juist', 'groent', 'houd']","jij,zegt,jij,juist,groent,houd",1,0,0,0,0,0,0,0,0,0,1,0,0,['groent'],1,groent,8,6,[1],1.0
226,41956,2607401422,1422.0,40204,Mohammed je bent vegetarir als je helemaal geen vlees eet??,,group,1,0,10,0.0,,16,"['Mohammed', 'je', 'bent', 'vegetarir', 'als', 'je', 'helemaal', 'geen', 'vlees', 'eet']","['Mohammed', 'je', 'bent', 'vegetarir', 'als', 'je', 'helemaal', 'geen', 'vlees', 'eet']","['mohammed', 'je', 'bent', 'vegetarir', 'als', 'je', 'helemaal', 'geen', 'vlees', 'eet']","['mohammed', 'bent', 'vegetarir', 'helemaal', 'vlees', 'eet']","['mohammed', 'bent', 'vegetarir', 'helemaal', 'vlees', 'eet']","['mohammed', 'bent', 'vegetarir', 'helemal', 'vles', 'eet']","mohammed,bent,vegetarir,helemal,vles,eet",1,0,0,0,1,0,0,0,0,0,1,0,0,"['vles', 'eet']",2,"vles,eet",8,6,[2],2.0
235,42432,2607401423,1423.0,40186,Deze pizza maar zonder stukjes vlees omdat ik een vegetaries ben dat weet je toch,,group,0,0,12,0.0,,19,"['Deze', 'pizza', 'maar', 'zonder', 'stukjes', 'vlees', 'omdat', 'ik', 'een', 'vegetaries', 'ben', 'dat', 'weet', 'je', 'toch']","['Deze', 'pizza', 'maar', 'zonder', 'stukjes', 'vlees', 'omdat', 'ik', 'een', 'vegetaries', 'ben', 'dat', 'weet', 'je', 'toch']","['deze', 'pizza', 'maar', 'zonder', 'stukjes', 'vlees', 'omdat', 'ik', 'een', 'vegetaries', 'ben', 'dat', 'weet', 'je', 'toch']","['pizza', 'stukjes', 'vlees', 'vegetaries', 'weet']","['pizza', 'stukjes', 'vlees', 'vegetaries', 'weet']","['pizza', 'stukjes', 'vles', 'vegetaries', 'wet']","pizza,stukjes,vles,vegetaries,wet",1,0,0,0,0,0,0,0,1,0,1,0,0,"['pizza', 'vles']",2,"pizza,vles",8,5,"[3, 2]",2.5
236,42433,2607401423,1423.0,40191,Ik ben half vegetarisch omdat ik.geen kip vlees eet ,,group,0,0,12,0.0,,19,"['Ik', 'ben', 'half', 'vegetarisch', 'omdat', 'ik', 'geen', 'kip', 'vlees', 'eet']","['Ik', 'ben', 'half', 'vegetarisch', 'omdat', 'ik', 'geen', 'kip', 'vlees', 'eet']","['ik', 'ben', 'half', 'vegetarisch', 'omdat', 'ik', 'geen', 'kip', 'vlees', 'eet']","['half', 'vegetarisch', 'kip', 'vlees', 'eet']","['half', 'vegetarisch', 'kip', 'vlees', 'eet']","['half', 'vegetarisch', 'kip', 'vles', 'eet']","half,vegetarisch,kip,vles,eet",2,0,0,0,1,0,0,1,0,0,1,0,0,"['kip', 'vles', 'eet']",3,"kip,vles,eet",8,5,"[2, 2]",2.0
237,42434,2607401423,1423.0,40193,Ik eet aleen maar rundvlees en vis ,,group,0,0,12,0.0,,19,"['Ik', 'eet', 'aleen', 'maar', 'rundvlees', 'en', 'vis']","['Ik', 'eet', 'aleen', 'maar', 'rundvlees', 'en', 'vis']","['ik', 'eet', 'aleen', 'maar', 'rundvlees', 'en', 'vis']","['eet', 'aleen', 'rundvlees', 'vis']","['eet', 'aleen', 'rundvlees', 'vis']","['eet', 'alen', 'rundvles', 'vis']","eet,alen,rundvles,vis",2,0,0,0,1,0,0,0,0,0,1,0,0,"['vis', 'rundvles', 'eet']",3,"vis,rundvles,eet",8,4,"[1, 2]",1.5
238,42435,2607401423,1423.0,40194,Niet waar ik hou van groente maar bepaalde soorten niet ,,group,0,0,12,0.0,,19,"['Niet', 'waar', 'ik', 'hou', 'van', 'groente', 'maar', 'bepaalde', 'soorten', 'niet']","['Niet', 'waar', 'ik', 'hou', 'van', 'groente', 'maar', 'bepaalde', 'soorten', 'niet']","['niet', 'waar', 'ik', 'hou', 'van', 'groente', 'maar', 'bepaalde', 'soorten', 'niet']","['waar', 'hou', 'groente', 'bepaalde', 'soorten']","['waar', 'hou', 'groente', 'bepaalde', 'soorten']","['war', 'hou', 'groent', 'bepaald', 'soort']","war,hou,groent,bepaald,soort",1,0,0,0,0,0,0,0,0,0,1,0,0,['groent'],1,groent,8,5,[1],1.0
239,42436,2607401423,1423.0,40198,Wat dan?? Kijk als iemand geen kippen vlees eet dan is hij toch vegetarier,,group,0,0,12,0.0,,19,"['Wat', 'dan', 'Kijk', 'als', 'iemand', 'geen', 'kippen', 'vlees', 'eet', 'dan', 'is', 'hij', 'toch', 'vegetarier']","['Wat', 'dan', 'Kijk', 'als', 'iemand', 'geen', 'kippen', 'vlees', 'eet', 'dan', 'is', 'hij', 'toch', 'vegetarier']","['wat', 'dan', 'kijk', 'als', 'iemand', 'geen', 'kippen', 'vlees', 'eet', 'dan', 'is', 'hij', 'toch', 'vegetarier']","['kijk', 'kippen', 'vlees', 'eet', 'vegetarier']","['kijk', 'kippen', 'vlees', 'eet', 'vegetarier']","['kijk', 'kipp', 'vles', 'eet', 'vegetarier']","kijk,kipp,vles,eet,vegetarier",1,0,0,0,1,0,0,1,0,0,1,0,0,"['vles', 'eet']",2,"vles,eet",8,5,[2],2.0
241,42568,2607401424,1424.0,39296,Its ok brads,,group,0,0,12,0.0,,15,"['Its', 'ok', 'brads']","['Its', 'ok', 'brads']","['its', 'ok', 'brads']","['its', 'ok', 'brads']","['its', 'ok', 'brads']","['its', 'ok', 'brad']","its,ok,brad",0,0,0,0,0,0,0,0,0,1,1,0,0,['brad'],1,brad,2,3,[2],2.0
242,42742,2607404365,4365.0,40196,Dan lust je kip gwn niet je bent geen vega ????,,group,0,1,11,0.0,,25,"['Dan', 'lust', 'je', 'kip', 'gwn', 'niet', 'je', 'bent', 'geen', 'vega']","['Dan', 'lust', 'je', 'kip', 'gwn', 'niet', 'je', 'bent', 'geen', 'vega']","['dan', 'lust', 'je', 'kip', 'gwn', 'niet', 'je', 'bent', 'geen', 'vega']","['lust', 'kip', 'gwn', 'bent', 'vega']","['lust', 'kip', 'gwn', 'bent', 'vega']","['lust', 'kip', 'gwn', 'bent', 'vega']","lust,kip,gwn,bent,vega",1,0,0,0,0,0,0,1,0,0,1,0,0,['kip'],1,kip,2,5,[2],2.0
243,42743,2607404365,4365.0,40202,Nee dan lust je kip niet niks anders ,,group,0,1,11,0.0,,25,"['Nee', 'dan', 'lust', 'je', 'kip', 'niet', 'niks', 'anders']","['Nee', 'dan', 'lust', 'je', 'kip', 'niet', 'niks', 'anders']","['nee', 'dan', 'lust', 'je', 'kip', 'niet', 'niks', 'anders']","['nee', 'lust', 'kip', 'niks', 'anders']","['nee', 'lust', 'kip', 'niks', 'anders']","['nee', 'lust', 'kip', 'nik', 'ander']","nee,lust,kip,nik,ander",1,0,0,0,0,0,0,0,0,0,1,0,0,['kip'],1,kip,2,5,[2],2.0
